"TIME","GEO","UNIT","Value"
"2014","AT111","Number","454"
"2014","AT112","Number","1,578"
"2014","AT113","Number","1,159"
"2014","AT121","Number","2,253"
"2014","AT122","Number","2,732"
"2014","AT123","Number","1,459"
"2014","AT124","Number","2,435"
"2014","AT125","Number","1,386"
"2014","AT126","Number","2,863"
"2014","AT127","Number","3,109"
"2014","AT130","Number","16,014"
"2014","AT211","Number","2,851"
"2014","AT212","Number","1,278"
"2014","AT213","Number","1,517"
"2014","AT221","Number","3,540"
"2014","AT222","Number","780"
"2014","AT223","Number","2,031"
"2014","AT224","Number","2,484"
"2014","AT225","Number","1,898"
"2014","AT226","Number","1,134"
"2014","AT311","Number","2,426"
"2014","AT312","Number","5,015"
"2014","AT313","Number","1,642"
"2014","AT314","Number","1,421"
"2014","AT315","Number","2,121"
"2014","AT321","Number","172"
"2014","AT322","Number","1,249"
"2014","AT323","Number","2,895"
"2014","AT331","Number","306"
"2014","AT332","Number","2,359"
"2014","AT333","Number","424"
"2014","AT334","Number","762"
"2014","AT335","Number","1,773"
"2014","AT341","Number","683"
"2014","AT342","Number","2,049"
"2015","AT111","Number","474"
"2015","AT112","Number","1,682"
"2015","AT113","Number","1,143"
"2015","AT121","Number","2,308"
"2015","AT122","Number","2,806"
"2015","AT123","Number","1,610"
"2015","AT124","Number","2,574"
"2015","AT125","Number","1,421"
"2015","AT126","Number","3,232"
"2015","AT127","Number","3,307"
"2015","AT130","Number","16,526"
"2015","AT211","Number","2,952"
"2015","AT212","Number","1,395"
"2015","AT213","Number","1,681"
"2015","AT221","Number","3,785"
"2015","AT222","Number","851"
"2015","AT223","Number","2,085"
"2015","AT224","Number","2,744"
"2015","AT225","Number","2,136"
"2015","AT226","Number","1,220"
"2015","AT311","Number","2,621"
"2015","AT312","Number","5,408"
"2015","AT313","Number","1,835"
"2015","AT314","Number","1,565"
"2015","AT315","Number","2,224"
"2015","AT321","Number","195"
"2015","AT322","Number","1,388"
"2015","AT323","Number","2,934"
"2015","AT331","Number","271"
"2015","AT332","Number","2,433"
"2015","AT333","Number","485"
"2015","AT334","Number","796"
"2015","AT335","Number","2,016"
"2015","AT341","Number","775"
"2015","AT342","Number","2,195"
"2016","AT111","Number","465"
"2016","AT112","Number","1,635"
"2016","AT113","Number","1,115"
"2016","AT121","Number","2,430"
"2016","AT122","Number","2,891"
"2016","AT123","Number","1,480"
"2016","AT124","Number","2,503"
"2016","AT125","Number","1,555"
"2016","AT126","Number","2,971"
"2016","AT127","Number","3,131"
"2016","AT130","Number","16,031"
"2016","AT211","Number","2,963"
"2016","AT212","Number","1,363"
"2016","AT213","Number","1,635"
"2016","AT221","Number","3,614"
"2016","AT222","Number","810"
"2016","AT223","Number","2,150"
"2016","AT224","Number","2,572"
"2016","AT225","Number","1,953"
"2016","AT226","Number","1,212"
"2016","AT311","Number","2,489"
"2016","AT312","Number","5,103"
"2016","AT313","Number","1,715"
"2016","AT314","Number","1,495"
"2016","AT315","Number","2,109"
"2016","AT321","Number","197"
"2016","AT322","Number","1,391"
"2016","AT323","Number","2,902"
"2016","AT331","Number","252"
"2016","AT332","Number","2,437"
"2016","AT333","Number","434"
"2016","AT334","Number","769"
"2016","AT335","Number","1,968"
"2016","AT341","Number","740"
"2016","AT342","Number","2,189"
"2017","AT111","Number","460"
"2017","AT112","Number","1,687"
"2017","AT113","Number","1,210"
"2017","AT121","Number","2,365"
"2017","AT122","Number","2,800"
"2017","AT123","Number","1,799"
"2017","AT124","Number","2,641"
"2017","AT125","Number","1,525"
"2017","AT126","Number","2,792"
"2017","AT127","Number","3,358"
"2017","AT130","Number","16,424"
"2017","AT211","Number","2,975"
"2017","AT212","Number","1,467"
"2017","AT213","Number","1,635"
"2017","AT221","Number","3,835"
"2017","AT222","Number","871"
"2017","AT223","Number","2,018"
"2017","AT224","Number","2,735"
"2017","AT225","Number","2,143"
"2017","AT226","Number","1,231"
"2017","AT311","Number","2,680"
"2017","AT312","Number","5,172"
"2017","AT313","Number","1,893"
"2017","AT314","Number","1,519"
"2017","AT315","Number","2,315"
"2017","AT321","Number","200"
"2017","AT322","Number","1,386"
"2017","AT323","Number","3,091"
"2017","AT331","Number","258"
"2017","AT332","Number","2,418"
"2017","AT333","Number","487"
"2017","AT334","Number","752"
"2017","AT335","Number","2,015"
"2017","AT341","Number","806"
"2017","AT342","Number","2,307"
"2018","AT111","Number","496"
"2018","AT112","Number","1,619"
"2018","AT113","Number","1,198"
"2018","AT121","Number","2,439"
"2018","AT122","Number","2,820"
"2018","AT123","Number","1,566"
"2018","AT124","Number","2,456"
"2018","AT125","Number","1,609"
"2018","AT126","Number","3,240"
"2018","AT127","Number","3,475"
"2018","AT130","Number","16,887"
"2018","AT211","Number","3,042"
"2018","AT212","Number","1,335"
"2018","AT213","Number","1,753"
"2018","AT221","Number","3,762"
"2018","AT222","Number","885"
"2018","AT223","Number","2,052"
"2018","AT224","Number","2,588"
"2018","AT225","Number","2,024"
"2018","AT226","Number","1,282"
"2018","AT311","Number","2,598"
"2018","AT312","Number","5,347"
"2018","AT313","Number","1,781"
"2018","AT314","Number","1,581"
"2018","AT315","Number","2,277"
"2018","AT321","Number","197"
"2018","AT322","Number","1,401"
"2018","AT323","Number","3,028"
"2018","AT331","Number","299"
"2018","AT332","Number","2,504"
"2018","AT333","Number","475"
"2018","AT334","Number","770"
"2018","AT335","Number","2,089"
"2018","AT341","Number","789"
"2018","AT342","Number","2,311"
